,Home,Price,SqFt,Bedrooms,Bathrooms,Offers,Brick_Yes_1,Neighborhood_North_1,Neighborhood_West_1
Home,1.0,0.10096391641597027,0.17494177451368303,-0.07175100734506076,0.10900278914447112,-0.0518299292889303,0.037417880715686754,0.04934853714426378,0.02677900571185184
Price,0.10096391641597027,1.0,0.5490700943931159,0.5234827920974545,0.5017438396096766,-0.314728055145935,0.4527169811330623,-0.5514065059087034,0.7194717920522409
SqFt,0.17494177451368303,0.5490700943931159,1.0,0.48176895677671683,0.5205769167300363,0.33863860816062263,0.08825832224242706,-0.2866270186294163,0.24703776079234116
Bedrooms,-0.07175100734506076,0.5234827920974545,0.48176895677671683,1.0,0.38435894376391333,0.1190651411742151,0.03861032908081329,-0.3659292940327072,0.47613724114455536
Bathrooms,0.10900278914447112,0.5017438396096766,0.5205769167300363,0.38435894376391333,1.0,0.18205465229151918,0.155127064447848,-0.2735506022160966,0.2715852249896738
Offers,-0.0518299292889303,-0.314728055145935,0.33863860816062263,0.1190651411742151,0.18205465229151918,1.0,-0.14276623089485793,0.3295602890329622,-0.3292720392886165
Brick_Yes_1,0.037417880715686754,0.4527169811330623,0.08825832224242706,0.03861032908081329,0.155127064447848,-0.14276623089485793,1.0,-0.2605536109272983,0.11579309949164264
Neighborhood_North_1,0.04934853714426378,-0.5514065059087034,-0.2866270186294163,-0.3659292940327072,-0.2735506022160966,0.3295602890329622,-0.2605536109272983,1.0,-0.47909760011232244
Neighborhood_West_1,0.02677900571185184,0.7194717920522409,0.24703776079234116,0.47613724114455536,0.2715852249896738,-0.3292720392886165,0.11579309949164264,-0.47909760011232244,1.0
